,Degree Centrality,Closeness Centrality,PageRank Centrality,Eigen Vector Centrality,HITS Centrality,Betweenness Centrality
0,0.011541072640868975,0.4849952963311383,0.00015334575290594504,0.01370457687483708,0.0002508917916717029,2.873324810092056e-05
1,0.38066142954126664,0.6159130278955857,0.005896083461609994,0.11894437116841171,0.0021773304323440524,0.05928634759141376
2,0.22063815342837748,0.5581357583631049,0.0035796308562456446,0.07851168110983055,0.0014372117139366803,0.025851482382041133
3,0.06294248860440307,0.509009231376808,0.0008201574890602174,0.0386850629876285,0.000708176259758428,0.0013341615125342335
4,0.006303947240810785,0.4559564871318652,8.817064475901014e-05,0.006638251797354159,0.00012152514332566728,3.4211930335065486e-06
5,0.14198428862379983,0.5327580861837347,0.0019309250018151023,0.06490471726857813,0.0011881360221047141,0.006323660324948285
6,0.24653282901755408,0.5650791910999068,0.0037015156988282646,0.08803291845621854,0.0016114956312200713,0.025551697594170465
7,0.02007564736688973,0.4794253033895941,0.00026004302492479503,0.017422630748089828,0.00031894856542268615,8.526788894844548e-05
8,0.24789060226942103,0.5665073347618262,0.004133198174540344,0.08734434552148992,0.0015988951411356018,0.03304726865609158
9,0.22083212103578703,0.5524539219888556,0.003304103861125547,0.08060325631941886,0.0014754886739887854,0.01839498132466361
10,0.010765202211230725,0.4766108902653231,0.0001465024196874647,0.01074890720700062,0.0001967797277443984,3.344822911314736e-05
11,0.015129473377945884,0.47780352177942537,0.0001991603446658716,0.014564821055448587,0.0002666361132553566,6.36221037939044e-05
12,0.08495781204538842,0.509738975677279,0.0011276863731242302,0.045147973896914134,0.0008264786884117903,0.002055614688630754
13,0.06459121326738435,0.4987423817355132,0.0010190566952353953,0.030684649209255434,0.0005617146013434899,0.0024856355530364456
14,0.024827853748424014,0.49193702290076335,0.0003151021714527045,0.022508644547360974,0.0004120591782371984,0.00013175761573068807
15,0.03122878479293958,0.49588803924397634,0.0003948630732749992,0.026799444048303624,0.0004906059346285983,0.00026856484989035823
16,0.04907380467461934,0.49871825876662634,0.0007314738550764533,0.029138807118128218,0.0005334255608201186,0.0015699099848944485
17,0.005722044418582097,0.4547298787210584,9.043771452762221e-05,0.005066495850553386,9.275249868898659e-05,1.967352050039789e-05
18,0.006885850063039473,0.45619856649853996,9.836217890442772e-05,0.007454963480418774,0.00013647644316092103,8.753016905449233e-06
19,0.07341673940451945,0.4985494633014215,0.0010983580343696107,0.034399907760178004,0.0006297218665910645,0.002622399603148744
20,0.04839491804868587,0.5016785870675814,0.0006327428346195235,0.033816369486691304,0.0006190557495771781,0.0007467673613853492
21,0.015129473377945884,0.48299606520517147,0.00019848775782811492,0.015330346775375581,0.00028065067689463357,6.147370154565085e-05
22,0.04073319755600815,0.5005582795281325,0.0005242494543243804,0.030921092795125598,0.000566055587875409,0.0004634888555535277
23,0.08437590922315974,0.5101424896101326,0.0011567021153295306,0.046929564860178984,0.0008590957239624332,0.0025087653326107506
